pert_id	cmap_name	target	moa	compound_aliases	inchi_key
BRD-K99964838	bosutinib	SRC	Src inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	CAMK2G	Src inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K49328571	dasatinib	EPHA2	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	ABL1	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	FYN	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	KIT	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LCK	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LYN	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	PDGFRB	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	BCR	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	SRC	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	YES1	Src inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K13646352	midostaurin	FLT3	FLT3 inhibitor		BMGQWWVMWDBQGC-IIFHNQTCSA-N
BRD-K13646352	midostaurin	KIT	FLT3 inhibitor		BMGQWWVMWDBQGC-IIFHNQTCSA-N
BRD-K19034817	pacritinib	FLT3	FLT3 inhibitor		HWXVIOGONBBTBY-ONEGZZNKSA-N
BRD-K19034817	pacritinib	JAK2	FLT3 inhibitor		HWXVIOGONBBTBY-ONEGZZNKSA-N
BRD-K44227013	ponatinib	FGFR1	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR3	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR2	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR4	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FLT3	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	ABL1	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	KIT	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	RET	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	BCR	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	TEK	FLT3 inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K93918653	quizartinib	CSF1R	FLT3 inhibitor		CVWXJKQAOSCOAB-UHFFFAOYSA-N
BRD-K93918653	quizartinib	FLT3	FLT3 inhibitor		CVWXJKQAOSCOAB-UHFFFAOYSA-N
BRD-K93918653	quizartinib	KIT	FLT3 inhibitor		CVWXJKQAOSCOAB-UHFFFAOYSA-N
BRD-K93918653	quizartinib	RET	FLT3 inhibitor		CVWXJKQAOSCOAB-UHFFFAOYSA-N
BRD-K77908580	entinostat	HDAC1	HDAC inhibitor		INVTYAOGFAGBOE-UHFFFAOYSA-N
BRD-K02130563	panobinostat	HDAC1	HDAC inhibitor		FPOHNWQLNRZRFC-ZHACJKMWSA-N
BRD-K02130563	panobinostat	HDAC2	HDAC inhibitor		FPOHNWQLNRZRFC-ZHACJKMWSA-N
BRD-K61397605	romidepsin	HDAC1	HDAC inhibitor		OHRURASPPZQGQM-GCCNXGTGSA-N
BRD-K61397605	romidepsin	HDAC2	HDAC inhibitor		OHRURASPPZQGQM-GCCNXGTGSA-N
BRD-K81418486	vorinostat	HDAC6	HDAC inhibitor		WAEXFXRVDQXREF-UHFFFAOYSA-N
BRD-K81418486	vorinostat	HDAC1	HDAC inhibitor		WAEXFXRVDQXREF-UHFFFAOYSA-N
BRD-K81418486	vorinostat	HDAC2	HDAC inhibitor		WAEXFXRVDQXREF-UHFFFAOYSA-N
BRD-K81418486	vorinostat	HDAC8	HDAC inhibitor		WAEXFXRVDQXREF-UHFFFAOYSA-N
BRD-K81418486	vorinostat	HDAC3	HDAC inhibitor		WAEXFXRVDQXREF-UHFFFAOYSA-N
BRD-A25736793	everolimus	MTOR	MTOR inhibitor		HKVAMNSJSFKALM-UHFFFAOYSA-N
BRD-K13514097	everolimus	MTOR	MTOR inhibitor		HKVAMNSJSFKALM-GKUWKFKPSA-N
BRD-K13154216	everolimus	MTOR	MTOR inhibitor		HKVAMNSJSFKALM-MUKRYTAKSA-N
BRD-K42191735	buparlisib	PIK3CA	PI3K inhibitor		CWHUFRVAEUJCEF-UHFFFAOYSA-N
BRD-K60866521	idelalisib	PIK3CD	PI3K inhibitor		IFSDAJWBUCMOAH-HNNXBMFYSA-N
BRD-K60866521	idelalisib	PIK3CG	PI3K inhibitor		IFSDAJWBUCMOAH-HNNXBMFYSA-N
BRD-K49328571	dasatinib	EPHA2	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	ABL1	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	FYN	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	KIT	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LCK	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LYN	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	PDGFRB	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	BCR	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	SRC	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	YES1	PDGFR inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K92723993	imatinib	CSF1R	PDGFR inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	ABL1	PDGFR inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	KIT	PDGFR inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	PDGFRA	PDGFR inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	PDGFRB	PDGFR inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	BCR	PDGFR inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR1	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR3	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR2	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR4	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FLT3	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	ABL1	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	KIT	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	RET	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	BCR	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	TEK	PDGFR inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K49328571	dasatinib	EPHA2	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	ABL1	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	FYN	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	KIT	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LCK	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LYN	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	PDGFRB	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	BCR	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	SRC	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	YES1	Ephrin inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-A17883755	lenalidomide	CRBN	Anti-cancer agent		GOTYRUGSSMKFNF-UHFFFAOYSA-N
BRD-A17883755	lenalidomide	TNF	Anti-cancer agent		GOTYRUGSSMKFNF-UHFFFAOYSA-N
BRD-K82109576	vincristine	TUBB	Tubulin inhibitor		OGWKCGZFUXNPDA-CFWMRBGOSA-N
BRD-K74793820	vincristine	TUBB	Tubulin inhibitor		OGWKCGZFUXNPDA-YPKBQUEXSA-N
BRD-A60414806	vincristine	TUBB	Tubulin inhibitor		OGWKCGZFUXNPDA-CUGARIAGSA-N
BRD-A76528577	vincristine	TUBB	Tubulin inhibitor		KUSGVVPSWLLOSB-UHFFFAOYSA-N
BRD-K99964838	bosutinib	ABL1	Abl kinase inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	HCK	Abl kinase inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	LYN	Abl kinase inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	BCR	Abl kinase inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	SRC	Abl kinase inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	CAMK2G	Abl kinase inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K49328571	dasatinib	EPHA2	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	ABL1	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	FYN	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	KIT	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LCK	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LYN	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	PDGFRB	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	BCR	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	SRC	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	YES1	Abl kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K92723993	imatinib	CSF1R	Abl kinase inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	ABL1	Abl kinase inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	KIT	Abl kinase inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	PDGFRA	Abl kinase inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	PDGFRB	Abl kinase inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	BCR	Abl kinase inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K81528515	nilotinib	ABL1	Abl kinase inhibitor		HHZIURLSWUIHRB-UHFFFAOYSA-N
BRD-K81528515	nilotinib	KIT	Abl kinase inhibitor		HHZIURLSWUIHRB-UHFFFAOYSA-N
BRD-K81528515	nilotinib	BCR	Abl kinase inhibitor		HHZIURLSWUIHRB-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR1	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR3	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR2	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FGFR4	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	FLT3	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	ABL1	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	KIT	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	RET	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	BCR	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K44227013	ponatinib	TEK	Abl kinase inhibitor		PHXJVRSECIGDHY-UHFFFAOYSA-N
BRD-K88510285	bortezomib	PSMB1	Proteasome inhibitor		GXJABQQUPOEUTA-RDJZCZTQSA-N
BRD-K88510285	bortezomib	PSMB2	Proteasome inhibitor		GXJABQQUPOEUTA-RDJZCZTQSA-N
BRD-K88510285	bortezomib	PSMB5	Proteasome inhibitor		GXJABQQUPOEUTA-RDJZCZTQSA-N
BRD-K88510285	bortezomib	PSMB1	NFKB pathway inhibitor		GXJABQQUPOEUTA-RDJZCZTQSA-N
BRD-K88510285	bortezomib	PSMB2	NFKB pathway inhibitor		GXJABQQUPOEUTA-RDJZCZTQSA-N
BRD-K88510285	bortezomib	PSMB5	NFKB pathway inhibitor		GXJABQQUPOEUTA-RDJZCZTQSA-N
BRD-K61468417	doxorubicin	TOP2A	Topoisomerase inhibitor		AOJJSUZBOXZQNB-HEKDSCCBSA-N
BRD-K92093830	doxorubicin	TOP2A	Topoisomerase inhibitor		AOJJSUZBOXZQNB-TZSSRYMLSA-N
BRD-A52530684	doxorubicin	TOP2A	Topoisomerase inhibitor		AOJJSUZBOXZQNB-BLSUDJMZSA-N
BRD-A76941896	doxorubicin	TOP2A	Topoisomerase inhibitor		AOJJSUZBOXZQNB-UHFFFAOYSA-N
BRD-K37798499	etoposide	TOP2A	Topoisomerase inhibitor		VJJPUSNTGOMMGY-MRVIYFEKSA-N
BRD-K37798499	etoposide	TOP2B	Topoisomerase inhibitor		VJJPUSNTGOMMGY-MRVIYFEKSA-N
BRD-K46503544	etoposide	TOP2A	Topoisomerase inhibitor		VJJPUSNTGOMMGY-GGDFOFTDSA-N
BRD-K46503544	etoposide	TOP2B	Topoisomerase inhibitor		VJJPUSNTGOMMGY-GGDFOFTDSA-N
BRD-A18419789	etoposide	TOP2A	Topoisomerase inhibitor		SYKHAYBRYKMZLP-LTGYLHEKSA-N
BRD-A18419789	etoposide	TOP2B	Topoisomerase inhibitor		SYKHAYBRYKMZLP-LTGYLHEKSA-N
BRD-A02579693	etoposide	TOP2A	Topoisomerase inhibitor		DOXHGVQIEQIIIV-UHFFFAOYSA-N
BRD-A02579693	etoposide	TOP2B	Topoisomerase inhibitor		DOXHGVQIEQIIIV-UHFFFAOYSA-N
BRD-K71879491	tretinoin	RARA	Retinoid receptor ligand		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K71879491	tretinoin	RARB	Retinoid receptor ligand		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K71879491	tretinoin	RARG	Retinoid receptor ligand		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K71879491	tretinoin	RORB	Retinoid receptor ligand		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K06926592	tretinoin	RARA	Retinoid receptor ligand		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-K06926592	tretinoin	RARB	Retinoid receptor ligand		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-K06926592	tretinoin	RARG	Retinoid receptor ligand		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-K06926592	tretinoin	RORB	Retinoid receptor ligand		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-A93255169	thalidomide	CRBN	TNF production inhibitor		UEJJHQNACJXSKW-UHFFFAOYSA-N
BRD-A93255169	thalidomide	TNF	TNF production inhibitor		UEJJHQNACJXSKW-UHFFFAOYSA-N
BRD-K71879491	tretinoin	RARA	Retinoid receptor agonist		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K71879491	tretinoin	RARB	Retinoid receptor agonist		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K71879491	tretinoin	RARG	Retinoid receptor agonist		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K71879491	tretinoin	RORB	Retinoid receptor agonist		SHGAZHPCJJPHSC-YCNIQYBTSA-N
BRD-K06926592	tretinoin	RARA	Retinoid receptor agonist		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-K06926592	tretinoin	RARB	Retinoid receptor agonist		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-K06926592	tretinoin	RARG	Retinoid receptor agonist		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-K06926592	tretinoin	RORB	Retinoid receptor agonist		SHGAZHPCJJPHSC-UHFFFAOYSA-N
BRD-K49328571	dasatinib	EPHA2	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	ABL1	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	FYN	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	KIT	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LCK	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LYN	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	PDGFRB	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	BCR	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	SRC	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	YES1	Tyrosine kinase inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K55026842	azacitidine	DNMT1	DNA methyltransferase inhibitor		NMUSYJAQQFHJEW-ARQDHWQXSA-N
BRD-K03406345	azacitidine	DNMT1	DNA methyltransferase inhibitor		NMUSYJAQQFHJEW-KVTDHHQDSA-N
BRD-K79254416	decitabine	DNMT1	DNA methyltransferase inhibitor		XAUDJQYHKZQPEU-KVQBGUIXSA-N
BRD-K59456551	methotrexate	DHFR	Dihydrofolate reductase inhibitor		FBOZXECLQNJBKD-ZDUSSCGKSA-N
BRD-K33106058	cytarabine	POLA1	Ribonucleotide reductase inhibitor		UHDGCWIWMRVCDJ-CCXZUQQUSA-N
BRD-K33106058	cytarabine	POLB	Ribonucleotide reductase inhibitor		UHDGCWIWMRVCDJ-CCXZUQQUSA-N
BRD-K71847383	cytarabine	POLA1	Ribonucleotide reductase inhibitor		UHDGCWIWMRVCDJ-XVFCMESISA-N
BRD-K71847383	cytarabine	POLB	Ribonucleotide reductase inhibitor		UHDGCWIWMRVCDJ-XVFCMESISA-N
